question,answer,difficulty
"For revision V direct ADC channels, what maximum sampling rates are listed for 16-bit, 12-bit, and 8-bit conversions under their table-specified conditions?","16-bit: 3.60 MSps (VDDA > 2.5 V, TJ = 90 °C, fADC = 36 MHz, SMP = 1.5 cycles). 12-bit: 5.50 MSps (TJ = 125 °C, fADC = 50 MHz, SMP = 2.5 cycles). 8-bit: 8.30 MSps (TJ = 125 °C, fADC = 50 MHz, SMP = 1.5 cycles).",2
"For revision V, what DAC_OUT voltage range and minimum resistive load apply with the DAC output buffer enabled, and what voltage range applies with the buffer disabled?",Buffer enabled: DAC_OUT ranges from 0.2 V to VREF+ - 0.2 V; minimum RL is 5 kΩ when connected to VSSA and 25 kΩ when connected to VDDA. Buffer disabled: DAC_OUT ranges from 0 V to VREF+.,2
"For revision V, what are the DAC wakeup times with the output buffer enabled and disabled?","Buffer enabled: 5 µs typical, 7.5 µs maximum. Buffer disabled: 2 µs typical, 5 µs maximum.",2
"For revision V, what are the temperature sensor's typical average slope, typical voltage at 30 °C, maximum startup time in Run mode, and minimum sampling time?",Average slope: 2 mV/°C typical. Voltage at 30 °C: 0.62 V typical. Startup time in Run mode: 25.2 µs maximum. Minimum sampling time: 9 µs.,2
"For revision V, what are the VBAT monitoring divider ratio, sampling time, and high- and low-threshold voltages?",Divider ratio: 1/4 (Q = 4). Sampling time: 9 µs. High threshold: 3.55 V. Low threshold: 1.36 V.,2
"For revision V, what DCMI pixel-clock limit, DCMI_PIXCLK-to-HCLK ratio, and data setup/hold times are specified?",Maximum DCMI pixel clock: 80 MHz. Maximum DCMI_PIXCLK/fHCLK ratio: 0.4. Data setup time: 3 ns minimum. Data hold time: 1 ns minimum.,2
How does the VOS5 Stop-mode wakeup time using HSI in normal mode differ between electrical-characteristics revision Y and revision V?,Revision Y: 30 µs typical and 71 µs maximum. Revision V: 39 µs typical and 71 µs maximum. The typical value increases by 9 µs in revision V while the maximum remains 71 µs.,3
How does the VOS3 Stop-mode wakeup time using CSI in normal mode differ between revision Y and revision V?,Revision Y: 27 µs typical and 37 µs maximum. Revision V: 30 µs typical and 37 µs maximum. The typical value increases by 3 µs in revision V while the maximum remains 37 µs.,3
Compare the VOS5 Stop-mode wakeup timings using CSI between revisions Y and V for both normal and low-power regulator modes.,Revision Y: normal mode 52 µs typical / 64 µs maximum; low-power mode 62 µs typical / 77 µs maximum. Revision V: normal mode 68 µs typical / 75 µs maximum; low-power mode 68 µs typical / 77 µs maximum.,3
"Among HSI48, HSI, CSI, and LSI in revision V, which internal oscillator has the shortest typical startup time, and what are the typical startup times of all four?","CSI is shortest at 1 µs typical. HSI is 1.4 µs, HSI48 is 2.1 µs, and LSI is 80 µs.",3
"Compare the revision V oscillator power consumption for HSI48, HSI, CSI, and LSI, and identify the lowest-power oscillator.",HSI48: 350 µA typical / 400 µA maximum; HSI: 300 µA / 400 µA; CSI: 23 µA / 30 µA; LSI: 130 nA / 280 nA. LSI has the lowest power consumption.,3
"For revision V, contrast the wide-range and medium-range PLLs in input-clock range, VCO-output range, maximum P output by voltage scale, and sigma-delta support.","Wide-range PLL: input 2-16 MHz, VCO 192-960 MHz, P-output maximums VOS0/VOS1/VOS2/VOS3 = 480/400/300/200 MHz; sigma-delta mode is supported with CKIN ≥ 8 MHz. Medium-range PLL: input 1-2 MHz, VCO 150-420 MHz, P-output maximum is 210 MHz for VOS1 and VOS2 and 200 MHz for VOS3; sigma-delta mode is forbidden.",3
"For revision V 16-bit ADC operation, compare the maximum sampling rate and the associated fADC/SMP conditions for a direct channel versus a fast channel.","Direct channel: 3.60 MSps at fADC = 36 MHz and SMP = 1.5 cycles (VDDA > 2.5 V, TJ = 90 °C). Fast channel: 2.90 MSps at fADC = 32 MHz and SMP = 2.5 cycles (TJ = 90 °C).",3
"For revision V, how does the maximum external ADC input impedance change with resolution from 16 to 8 bits?",16-bit: 170 Ω; 14-bit: 435 Ω; 12-bit: 1150 Ω; 10-bit: 5650 Ω; 8-bit: 26500 Ω.,3
"For revision V VREFBUF normal mode, give the minimum VDDA and typical reference output for each VSCALE setting 000, 001, 010, and 011.","VSCALE 000: VDDA ≥ 2.8 V, typical output 2.500 V. VSCALE 001: VDDA ≥ 2.4 V, typical output 2.049 V. VSCALE 010: VDDA ≥ 2.1 V, typical output 1.804 V. VSCALE 011: VDDA ≥ 1.8 V, typical output 1.5015 V.",3
"For revision V, compare the comparator startup times in high-speed, medium-speed, and ultra-low-power modes.",High-speed: 2 µs typical / 5 µs maximum. Medium-speed: 5 µs / 20 µs. Ultra-low-power: 15 µs / 80 µs.,3
"For revision V, map the OPAMP non-inverting and inverting PGA gains to the internal R2/R1 resistor pairs, and state the typical gain-bandwidth product and normal/high-speed slew rates.",R2/R1 = 10/10 kΩ gives gains +2 and -1; 30/10 kΩ gives +4 and -3; 70/10 kΩ gives +8 and -7; 150/10 kΩ gives +16 and -15. Typical gain-bandwidth product is 7.3 MHz. Typical slew rate is 3 V/µs in normal mode and 30 V/µs in high-speed mode.,3
"Using the functional overview and revision V DFSDM timing specifications together, what are the maximum DFSDM kernel clock, SPI input clock, Manchester-mode input clock, and clock output, and what external-SPI setup/hold times are specified?",Maximum DFSDM kernel clock: 250 MHz. Maximum SPI input clock: 20 MHz. Maximum Manchester-mode input clock: 10 MHz. Maximum clock output: 20 MHz. External-SPI setup time: 1.5 ns minimum; hold time: 0.5 ns minimum.,3
"Compare HRTIM1, TIM1/TIM8, and TIM2/TIM5 in counter width/direction, number of capture/compare channels, complementary-output support, and maximum interface/timer clocks.","HRTIM1: 16-bit up counter, 10 capture/compare channels, complementary outputs supported, 480 MHz interface clock and 480 MHz timer clock. TIM1/TIM8: 16-bit up/down, 4 channels, complementary outputs supported, 120 MHz interface and 240 MHz timer clock. TIM2/TIM5: 32-bit up/down, 4 channels, no complementary outputs, 120 MHz interface and 240 MHz timer clock.",3
"What RTC clock sources are supported, and how does RTC operation in VBAT differ when using LSE versus LSI?","RTC clock sources are the 32.768 kHz LSE crystal, an external LSE resonator/oscillator, LSI at about 32 kHz, or HSE divided by 32. With LSE, the RTC remains functional in VBAT and low-power modes. With LSI, it remains functional in low-power modes but not in VBAT mode.",3
"Which features distinguish USART1/2/3/6 from UART4/5/7/8, and what data lengths and FIFO sizes are common to both groups?","Only USART1/2/3/6 support synchronous SPI mode and Smartcard mode; UART4/5/7/8 do not. Both groups support 7-, 8-, and 9-bit data lengths and have 16-byte TX and 16-byte RX FIFOs. The interfaces can communicate at speeds up to 12.5 Mbit/s.",3
How does LPUART clocking for low baud rate differ from the higher-speed USART/UART capability?,"LPUART can operate from an independent clock and can wake the MCU from Stop mode; a 32.768 kHz LSE clock is sufficient for communication up to 9600 baud, while higher baud rates require a higher-frequency clock source. The USART/UART interfaces can reach up to 12.5 Mbit/s.",3
"Contrast the SPI and I2S capabilities that share SPI1-SPI3, including maximum rates, data/frame sizes, and FIFO organization.","SPI can run up to 150 Mbit/s in master or slave mode, supports 4- to 16-bit frames, and each SPI has 8 x 8-bit RX and TX FIFOs. I2S is available on SPI1-SPI3, supports 16- or 32-bit word lengths and 8 to 192 kHz sampling rates, can generate MCLK at 256 × Fs, and uses 16 x 8-bit RX and TX FIFOs.",3
"Compare the two USB OTG high-speed peripherals: which speeds does each support, what transceiver/PHY is needed for 480 Mbit/s, and what endpoint/host-channel resources are provided?","OTG_HS1 supports full-speed and high-speed operation; OTG_HS2 supports full-speed only. Both have internal full-speed transceivers for 12 Mbit/s. OTG_HS1 requires an external ULPI PHY for 480 Mbit/s high-speed operation. Each peripheral provides a 4-Kbyte combined Rx/Tx FIFO, 9 bidirectional endpoints including EP0, and 16 host channels.",3
"Describe how the two FDCAN modules share resources and differ in time-triggered capability, and how the subsystem performs clock calibration.","FDCAN1 and FDCAN2 share 10 Kbytes of message RAM. Both support CAN FD, but FDCAN1 additionally supports TT-CAN according to ISO 11898-4. The subsystem uses two independent clocks, HSI and PLL, and a clock-calibration unit evaluates FDCAN1 messages to derive a calibrated clock from HSI for the two FDCANs.",3
"Among the listed STM32H753xI packages, which package has the lowest junction-to-ambient thermal resistance and which has the lowest junction-to-case thermal resistance? Give those values and the corresponding UFBGA169 values for comparison.","TFBGA240+25 is lowest for both: ΘJA = 36.6 °C/W and ΘJC = 7.4 °C/W. For UFBGA169, ΘJA = 37.7 °C/W and ΘJC = 11.0 °C/W.",3
"According to the ordering-code legend, what do the fields X, I, T, 6, A, and TR mean in the example STM32 H 753 X I T 6 A TR?","X = 240+25 balls; I = 2 Mbytes of flash; T = LQFP ECOPACK2 package; 6 = -40 to 85 °C temperature range; A = Advanced mission profile (VOS1, 480 MHz); TR = tape-and-reel packing.",3
